CPT,ASA,ASA_COUNT,ASA_FREQ
15733,00300,4,1.0
15734,00300,9,0.4736842105263158
15734,00700,5,0.2631578947368421
15734,00800,4,0.2105263157894737
15734,00820,1,0.05263157894736842
15734,00730,0,0.0
15736,01610,0,0.0
15736,01710,0,0.0
15736,01810,0,0.0
15738,01470,7,0.5384615384615384
15738,01250,6,0.4615384615384616
15738,01320,0,0.0
15740,00300,0,0.0
15740,00400,0,0.0
15740,00700,0,0.0
15740,00730,0,0.0
15740,00800,0,0.0
15740,00820,0,0.0
15740,00920,0,0.0
15740,00940,0,0.0
15740,01250,0,0.0
15740,01320,0,0.0
15740,01470,0,0.0
15740,01610,0,0.0
15740,01710,0,0.0
15740,01810,0,0.0
15750,00300,0,0.0
15750,00400,0,0.0
15750,00700,0,0.0
15750,00730,0,0.0
15750,00800,0,0.0
15750,00820,0,0.0
15750,00920,0,0.0
15750,00940,0,0.0
15750,01250,0,0.0
15750,01320,0,0.0
15750,01470,0,0.0
15750,01610,0,0.0
15750,01710,0,0.0
15750,01810,0,0.0
15756,00300,0,0.0
15756,00400,0,0.0
15756,00402,0,0.0
15756,00700,0,0.0
15756,00730,0,0.0
15756,00800,0,0.0
15756,00820,0,0.0
15756,00920,0,0.0
15756,00940,0,0.0
15756,01250,0,0.0
15756,01320,0,0.0
15756,01470,0,0.0
15756,01610,0,0.0
15756,01710,0,0.0
15756,01810,0,0.0
15757,00300,0,0.0
15757,00400,0,0.0
15757,00700,0,0.0
15757,00730,0,0.0
15757,00800,0,0.0
15757,00820,0,0.0
15757,00920,0,0.0
15757,00940,0,0.0
15757,01250,0,0.0
15757,01320,0,0.0
15757,01470,0,0.0
15757,01610,0,0.0
15757,01710,0,0.0
15757,01810,0,0.0
15758,00300,0,0.0
15758,00700,0,0.0
15758,00730,0,0.0
15758,00800,0,0.0
15758,00820,0,0.0
15758,01250,0,0.0
15758,01320,0,0.0
15758,01470,0,0.0
15758,01610,0,0.0
15758,01710,0,0.0
15758,01810,0,0.0
15760,00300,1,1.0
15769,00400,2,1.0
15769,00300,0,0.0
15770,00300,0,0.0
15770,00400,0,0.0
15770,00920,0,0.0
15770,00940,0,0.0
15771,00300,44,0.676923076923077
15771,00400,21,0.3230769230769231
15773,00300,0,0.0
15773,00400,0,0.0
15780,00300,0,0.0
15781,00300,0,0.0
15782,00300,0,0.0
15782,00400,0,0.0
15786,00300,0,0.0
15786,00400,0,0.0
15786,00920,0,0.0
15786,00940,0,0.0
15819,00300,0,0.0
15820,00103,9,1.0
15821,00103,0,0.0
15822,00103,216,1.0
15823,00103,89,1.0
15824,00300,1,1.0
15825,00300,5,1.0
15826,00300,0,0.0
15828,00300,2,1.0
15829,00300,0,0.0
15830,00802,156,1.0
15832,00400,2,1.0
15833,00400,0,0.0
15834,00400,0,0.0
15835,00300,0,0.0
15836,00400,8,1.0
15837,00400,0,0.0
15838,00300,0,0.0
15839,00940,5,0.7142857142857143
15839,00300,1,0.1428571428571428
15839,00400,1,0.1428571428571428
15839,00920,0,0.0
15840,00300,0,0.0
15841,00300,0,0.0
15842,00300,0,0.0
15845,00300,0,0.0
15850,00400,6,0.8571428571428571
15850,00300,1,0.1428571428571428
15850,00920,0,0.0
15850,00940,0,0.0
15851,00400,3,0.75
15851,00300,1,0.25
15851,00920,0,0.0
15851,00940,0,0.0
15852,00400,58,0.7631578947368421
15852,00300,13,0.1710526315789474
15852,00920,3,0.03947368421052631
15852,00940,2,0.02631578947368421
15876,00300,2,1.0
15877,00300,28,0.6666666666666666
15877,00400,14,0.3333333333333333
15878,00400,1,1.0
15879,00400,2,1.0
15920,01120,5,1.0
15922,01120,0,0.0
15931,00300,34,1.0
15933,01120,10,1.0
15934,00300,9,1.0
15935,01120,2,1.0
15936,00300,2,1.0
15937,01120,5,1.0
15940,00300,9,1.0
15941,01120,4,1.0
15944,00300,3,1.0
15945,01120,3,1.0
15946,01120,6,1.0
15950,00400,0,0.0
15951,01230,1,1.0
15952,00300,0,0.0
15952,00400,0,0.0
15953,01230,1,1.0
15956,00300,0,0.0
15956,00400,0,0.0
15958,01230,1,1.0
15999,00300,1,1.0
16020,00400,2,0.6666666666666666
16020,00300,1,0.3333333333333333
16020,00920,0,0.0
16020,00940,0,0.0
16020,01951,0,0.0
16020,01952,0,0.0
16025,+01953,0,0.0
16025,01952,0,0.0
16030,+01953,0,0.0
16030,01952,0,0.0
16035,+01953,0,0.0
16035,01951,0,0.0
16035,01952,0,0.0
17000,00400,3,1.0
17000,00300,0,0.0
17000,00920,0,0.0
17000,00940,0,0.0
17004,00300,0,0.0
17004,00400,0,0.0
17004,00920,0,0.0
17004,00940,0,0.0
17106,00300,1,1.0
17106,00400,0,0.0
17106,00920,0,0.0
17106,00940,0,0.0
17107,00300,0,0.0
17107,00400,0,0.0
17107,00920,0,0.0
17107,00940,0,0.0
17108,00400,1,1.0
17108,00300,0,0.0
17108,00920,0,0.0
17108,00940,0,0.0
17110,00400,9,0.6428571428571429
17110,00300,3,0.2142857142857143
17110,00920,2,0.1428571428571428
17110,00940,0,0.0
17111,00300,0,0.0
17111,00400,0,0.0
17111,00920,0,0.0
17111,00940,0,0.0
17250,00400,1,1.0
17250,00300,0,0.0
17250,00920,0,0.0
17250,00940,0,0.0
17260,00300,0,0.0
17260,00400,0,0.0
17261,00300,0,0.0
17261,00400,0,0.0
17262,00300,0,0.0
17262,00400,0,0.0
17263,00300,0,0.0
17263,00400,0,0.0
17264,00300,0,0.0
17264,00400,0,0.0
17266,00300,0,0.0
